stid,station_name,lat,lon,elev,begints,iem_network
AMW,Ames,41.99044,-93.61852,280,1996-09-30 00:53:00-05,IA_ASOS
BRL,BURLINGTON,40.77293,-91.12549,213,1948-01-01 00:00:00-06,IA_ASOS
CID,CEDAR RAPIDS,41.8829,-91.72459,265,1972-12-31 18:00:00-06,IA_ASOS
DSM,DES MOINES,41.53395,-93.65311,294,1936-01-01 01:00:00-06,IA_ASOS
DBQ,DUBUQUE,42.39835,-90.70914,329,1951-02-01 06:00:00-06,IA_ASOS
EST,ESTHERVILLE,43.40085,-94.74764,401,1987-06-30 08:00:00-05,IA_ASOS
IOW,IOWA CITY,41.63939,-91.54454,204,1996-07-01 02:53:00-05,IA_ASOS
LWD,LAMONI,40.63064,-93.90047,333,1973-01-01 02:00:00-06,IA_ASOS
MIW,MARSHALLTOWN,42.11061,-92.91632,297,1996-09-30 00:53:00-05,IA_ASOS
MCW,MASON CITY,43.15438,-93.3261,370,1948-01-01 06:00:00-06,IA_ASOS
OTM,OTTUMWA,41.10079,-92.44459,258,1947-01-01 06:00:00-06,IA_ASOS
DVN,QUAD CITIES,41.61333,-90.59483,229,1996-07-01 04:54:00-05,IA_ASOS
SUX,SIOUX CITY,42.39168,-96.37948,336,1948-01-01 06:00:00-06,IA_ASOS
SPW,SPENCER,43.16822,-95.21009,403,1996-07-31 06:50:00-05,IA_ASOS
ALO,Waterloo,42.55437,-92.40129,268,1949-01-01 07:00:00-06,IA_ASOS